Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Location
450827,Kell West Regional Hospital,5402 Kell West Blvd.,,,Wichita Falls,TX,76310,Wichita,940-692-5888,Acute Care,Proprietary,Yes,"5402 KELL WEST BOULEVARD
WICHITA FALLS, TX 76310
(33.88428429200047, -98.5336093899997)"
450828,Christus Spohn Hospital Alice,2500 E. Main St.,,,Alice,TX,78332,Jim Wells,361-661-8016,Acute Care,Nonprofit - Church,Yes,"2500 E MAIN STREET
ALICE, TX 78332
(27.764705795000452, -98.04479606099966)"
450831,Surgery Specialty Hospitals Of America Se Houston,4301 Vista Road,,,Pasadena,TX,77504,Harris,713-378-3000,Acute Care,Proprietary,Yes,"4301 B VISTA
PASADENA, TX 77504
(29.651420542000437, -95.18996892499968)"
450832,Christus St Catherine Hospital,701 S. Fry Road,,,Katy,TX,77450,Harris,281-599-5700,Acute Care,Nonprofit - Church,Yes,"701 SOUTH FRY ROAD
KATY, TX 77450
(29.777793056000462, -95.71884382999968)"
450833,Ennis Regional Medical Center,2201 W. Lampasas St.,,,Ennis,TX,75119,Ellis,972-875-0900,Acute Care,Proprietary,Yes,"2201 WEST LAMPASAS STREET
ENNIS, TX 75119
(32.31334626500046, -96.63954909799969)"
450834,"Physicians Centre,The",3131 University Drive East,,,Bryan,TX,77802,Brazos,979-731-3100,Acute Care,Proprietary,Yes,"3131 UNIVERSITY DRIVE EAST
BRYAN, TX 77802
(30.649492806000467, -96.29656846599966)"
450840,Texas Health Presbyterian Hospital Allen,1105 Central Expressway North,,,Allen,TX,75013,Collin,972-747-6197,Acute Care,Government - Federal,Yes,"1105 CENTRAL EXPRESSWAY NORTH
ALLEN, TX 75013
(33.11581725900044, -96.6713061749997)"
450844,Methodist Willowbrook Hospital,18220 Tomball Parkway,,,Houston,TX,77070,Harris,281-477-1000,Acute Care,Nonprofit - Church,Yes,"18220 TOMBALL PARKWAY
HOUSTON, TX 77070
(29.963626775000478, -95.55016402199965)"
450845,El Paso Specialty Hospital,"1755 Curie, Suite A",,,El Paso,TX,79902,El Paso,915-544-3636,Acute Care,Proprietary,Yes,"1755 CURIE SUITE A
EL PASO, TX 79902
(31.779586528000436, -106.4770518739997)"
450847,Memorial Hermann Katy Hospital,23900 Katy Freeway,,,Katy,TX,77494,Harris,281-392-1111,Acute Care,Nonprofit - Church,Yes,"23900 KATY FREEWAY
KATY, TX 77494
(29.785938752000447, -95.78579960799965)"
450848,Memorial Hermann Sugar Land Hospital,17500 W. Grand Parkway South,,,Sugar Land,TX,77479,Fort Bend,281-499-4800,Acute Care,Nonprofit - Church,Yes,"17500 W GRAND PARKWAY SOUTH
SUGAR LAND, TX 77479
(29.56364695600047, -95.68809768599965)"
450851,Baylor Heart And Vascular Hospital,621 N. Hall St.,,,Dallas,TX,75226,Dallas,214-820-0670,Acute Care,Proprietary,No,"621 NORTH HALL STREET
DALLAS, TX 75226
(32.787893846000486, -96.78025528599966)"
450853,Baylor Medical Center At Frisco,5601 Warren Parkway,,,Frisco,TX,75034,Collin,214-618-2000,Acute Care,Proprietary,Yes,"5601 WARREN PARKWAY
FRISCO, TX 75034
(33.10668309200048, -96.83757121999969)"
450855,Harlingen Medical Center,5501 S. Expressway 77,,,Harlingen,TX,78550,Cameron,956-365-1000,Acute Care,Proprietary,Yes,"5501 SOUTH EXPRESSWAY 77
HARLINGEN, TX 78550
(26.156573715000434, -97.67591407299966)"
450856,South Texas Spine And Surgical Hospital,18600 N. Hardy Oak Blvd.,,,San Antonio,TX,78258,Bexar,210-404-0800,Acute Care,Proprietary,Yes,"18600 NORTH HARDY OAK BLVD
SAN ANTONIO, TX 78258
(29.613162866000437, -98.47844867199967)"
450860,Sugar Land Surgical Hospital Llp,"1211 Highway 6, Suite 70",,,Sugar Land,TX,77478,Fort Bend,281-243-1000,Acute Care,Proprietary,No,"1211 HIGHWAY 6, SUITE 70
SUGAR LAND, TX 77478
(29.604797481000446, -95.63669044999966)"
450862,St Luke's The Woodlands Hospital,17200 St. Luke's Way,,,The Woodlands,TX,77384,Montgomery,936-266-4050,Acute Care,Nonprofit - Church,Yes,"17200 ST LUKE'S WAY
THE WOODLANDS, TX 77384
(30.20540459600045, -95.46067405199966)"
450864,Texas Spine And Joint Hospital,1814 Roseland Blvd.,,,Tyler,TX,75701,Smith,903-525-3300,Acute Care,Proprietary,Yes,"1814 ROSELAND BOULEVARD
TYLER, TX 75701
(32.329361020000476, -95.29942826999968)"
450865,Seton Southwest Hospital,7900 FM 1826,,,Austin,TX,78737,Travis,512-324-9000,Acute Care,Nonprofit - Church,Yes,"7900 FM 1826
AUSTIN, TX 78737
(30.226756898000474, -97.88967630999969)"
450867,Seton  Northwest Hospital,11113 Research Blvd.,,,Austin,TX,78759,Travis,512-324-6000,Acute Care,Nonprofit - Church,Yes,"11113 RESEARCH BOULEVARD
AUSTIN, TX 78759
(30.406256536000456, -97.74484907799967)"
450869,Doctors Hospital At Renaissance,5501 S. McColl,,,Edinburg,TX,78539,Hidalgo,956-362-8677,Acute Care,Proprietary,Yes,"5501 SOUTH MCCOLL
EDINBURG, TX 78539
(26.253825290000464, -98.2038909259997)"
45086F,Temple Va Medical Center - Va Central Texas,1901 Veterans Memorial Drive,,,Temple,TX,76504,Bell,254-778-4811,Acute Care - Veterans Adminstration,Government Federal,No,"1901 VETERANS MEMORIAL DRIVE
TEMPLE, TX 76504
(31.07791054200044, -97.34924809999967)"
450871,Arise Austin Medical Center,3003 Bee Caves Road,,,Austin,TX,78746,Travis,512-347-9888,Acute Care,Physician,Yes,"3003 BEE CAVES ROAD
AUSTIN, TX 78746
(30.271592722000435, -97.79583790899966)"
450872,Usmd Hospital At Arlington L P,801 W. Interstate 20,,,Arlington,TX,76017,Tarrant,817-472-3400,Acute Care,Physician,Yes,"801 W INTERSTATE 20
ARLINGTON, TX 76017
(32.67904779000048, -97.11681723199968)"
450874,Baylor Surgical Hospital At Las Colinas,"400 W. Interstate 635, Suite 101",,,Irving,TX,75063,Dallas,972-868-4000,Acute Care,Proprietary,Yes,"400 WEST INTERSTATE 635 SUITE 101
IRVING, TX 75063
(32.91219331800045, -96.94562727399966)"
450875,Quail Creek Surgical Hospital,6819 Plum Creek,,,Amarillo,TX,79124,Potter,806-354-6100,Acute Care,Proprietary,Yes,"6819 PLUM CREEK
AMARILLO, TX 79124
(35.20998838300045, -101.91313453699968)"
450876,Lubbock Heart Hospital Lp,4810 N. Loop 289,,,Lubbock,TX,79416,Lubbock,806-687-7777,Acute Care,Government - Local,Yes,"4810 NORTH LOOP 289
LUBBOCK, TX 79416
(33.60307460400048, -101.91345596499968)"
450877,Foundation Surgical Hospital Of El Paso,1416 George Dieter,,,El Paso,TX,79936,El Paso,915-598-4240,Acute Care,Physician,Yes,"1416 GEORGE DIETER
EL PASO, TX 79936
(31.73446052300045, -106.30155790899971)"
450880,Baylor Surgical Hospital At Fort Worth,750 12th Ave.,,,Fort Worth,TX,76104,Tarrant,817-334-5050,Acute Care,Nonprofit - Church,Yes,"750 12TH AVENUE
FORT WORTH, TX 76104
(32.73681623000044, -97.34741874699967)"
450883,Baylor Medical Center At Trophy Club,2850 E. State Highway 114,,,Trophy Club,TX,76262,Denton,817-837-4600,Acute Care,Proprietary,Yes,"2850 E STATE HIGHWAY 114
TROPHY CLUB, TX 76262
(32.987939182000446, -97.17480994399966)"
450884,East Texas Medical Center - Gilmer,712 N. Wood,,,Gilmer,TX,75644,Upshur,903-841-7100,Acute Care,Nonprofit - Church,Yes,"712 NORTH WOOD
GILMER, TX 75644
(32.735286070000484, -94.9425944949997)"
450885,Centennial Medical Center,12505 Lebanon Road,,,Frisco,TX,75035,Collin,972-963-3333,Acute Care,Proprietary,Yes,"12505 LEBANON ROAD
FRISCO, TX 75035
(33.115852791000464, -96.77095055099966)"
450888,Texas Health Harris Methodist Hospital Southlake,1545 E. Southlake Blvd.,,,Southlake,TX,76092,Tarrant,817-748-8700,Acute Care,Government - State,Yes,"1545 E SOUTHLAKE BLVD
SOUTHLAKE, TX 76092
(32.94094274000048, -97.12898097899966)"
450889,Texas Institute For Surgery At Presbyterian Hospit,"7115 Greenville Ave., Suite 100",,,Dallas,TX,75231,Dallas,214-647-5300,Acute Care,Proprietary,Yes,"7115 GREENVILLE AVENUE SUITE 100
DALLAS, TX 75231
(32.877354160000436, -96.76128932299969)"
450890,Baylor Regional Medical Center At Plano,4700 Alliance Blvd.,,,Plano,TX,75093,Collin,469-814-2000,Acute Care,Nonprofit - Other,Yes,"4700 ALLIANCE BOULEVARD
PLANO, TX 75093
(33.01433349300049, -96.7909611499997)"
450891,Texas Health Center For Diagnostics & Surgery Plan,6020 W. Parker Road,,,Plano,TX,75093,Collin,972-403-2700,Acute Care,Proprietary,Yes,"6020 W PARKER ROAD
PLANO, TX 75093
(33.04508313400049, -96.8316112709997)"
450893,The Heart Hospital Baylor Denton,2801 S. Mayhill Road,,,Denton,TX,76208,Denton,940-220-0600,Acute Care,Nonprofit - Other,Yes,"2801 SOUTH MAYHILL ROAD
DENTON, TX 76208
(33.17643770900048, -97.0881875449997)"
450894,Pine Creek Medical Center Llp,9032 Harry Hines Blvd.,,,Dallas,TX,75235,Dallas,214-231-2273,Acute Care,Physician,Yes,"9032 HARRY HINES BLVD
DALLAS, TX 75235
(32.84036268000045, -96.86900071199966)"
45090F,San Antonio Va Medical Center - Va South Texas,7400 Merton Minter Blvd.,,,San Antonio,TX,78229,Bexar,210-617-5300,Acute Care - Veterans Administration,Government Federal,No,"7400 MERTON MINTER BLVD.
SAN ANTONIO, TX 78229
(29.508417301000463, -98.5808280979997)"
451301,Reagan Memorial Hospital,805 N. Main,,,Big Lake,TX,76932,Reagan,325-844-2561,Critical Access,Government - Hospital District or Authority,Yes,"805 NORTH MAIN
BIG LAKE, TX 76932
(31.197585137000488, -101.46171618399967)"
451303,Limestone Medical Center,701 McClintic Drive,,,Groesbeck,TX,76642,Limestone,254-729-3281,Critical Access,Government - Hospital District or Authority,Yes,"701 MCCLINTIC DRIVE
GROESBECK, TX 76642
(31.53165894300048, -96.52981087999967)"
451305,Burleson St Joseph Health Center,1101 Woodson Drive,,,Caldwell,TX,77836,Burleson,979-567-3245,Critical Access,Nonprofit - Church,Yes,"1101 WOODSON DRIVE
CALDWELL, TX 77836
(30.521254807000446, -96.71628700799965)"
451309,Mccamey Hospital,2500 Highway 305 South,,,Mccamey,TX,79752,Upton,432-652-8626,Critical Access,Government - Hospital District or Authority,Yes,"2500 HWY 305 SOUTH
MCCAMEY, TX 79752
(31.084903901000473, -102.19083641899971)"
451310,Ballinger Memorial Hospital,608 AVE. B,,,Ballinger,TX,76821,Runnels,325-365-2531,Critical Access,Government - Hospital District or Authority,Yes,"608 AVENUE B
BALLINGER, TX 76821
(31.74964799200046, -99.96244035099966)"
451311,Sweeny Community Hospital,305 N. McKinney,,,Sweeny,TX,77480,Brazoria,979-548-3311,Critical Access,Government - Hospital District or Authority,Yes,"305 NORTH MCKINNEY
SWEENY, TX 77480
(29.04788919100048, -95.6907394219997)"
451313,Fisher County Hospital District,774 State Highway 70 North,,,Rotan,TX,79546,Fisher,325-735-2256,Critical Access,Government - Hospital District or Authority,Yes,"774 STATE HIGHWAY 70 N
ROTAN, TX 79546
(32.83423622100048, -100.43528829699966)"
451316,Madison St Joseph Health Center,100 W. Cross St.,,,Madisonville,TX,77864,Madison,936-348-2631,Critical Access,Nonprofit - Church,Yes,"100 WEST CROSS STREET
MADISONVILLE, TX 77864
(30.941998407000483, -95.91001707999965)"
451319,Mother Frances Hospital Jacksonville,2026 S. Jackson St.,,,Jacksonville,TX,75766,Cherokee,903-541-4500,Critical Access,Nonprofit - Church,Yes,"2026 S JACKSON STREET
JACKSONVILLE, TX 75766
(31.939444942000478, -95.2510389149997)"
451320,Bayside Community Hospital,200 Hospital Drive,,,Anahuac,TX,77514,Chambers,409-267-3143,Critical Access,Government - Local,Yes,"200 HOSPITAL DRIVE
ANAHUAC, TX 77514
(29.752112800000475, -94.68514263399965)"
451321,Hunt Regional Community Hospital,2900 Sterling Hart Drive,,,Commerce,TX,75428,Hunt,903-408-1881,Critical Access,Government - Hospital District or Authority,Yes,"2900 STERLING HART DRIVE
COMMERCE, TX 75428
(33.23096437200047, -95.89574650399965)"
451322,Grimes St Joseph Health Center,210 Judson St.,,,Navasota,TX,77868,Grimes,936-825-6585,Critical Access,Nonprofit - Church,Yes,"210 JUDSON ST
NAVASOTA, TX 77868
(30.395151846000488, -96.07908853199967)"
451323,Rollins Brook Community Hospital,608 N. Key Ave.,,,Lampasas,TX,76550,Lampasas,512-556-3682,Critical Access,Nonprofit - Church,Yes,"608 NORTH KEY AVENUE
LAMPASAS, TX 76550
(31.072403706000443, -98.1856444019997)"
451326,Chillicothe Hospital District,303 Ave. I,,,Chillicothe,TX,79225,Hardeman,940-852-5131,Critical Access,Government - Hospital District or Authority,Yes,"303 AVENUE I
CHILLICOTHE, TX 79225
(34.25539024300048, -99.51584552699967)"
451330,Medina Regional Hospital,3100 Ave. E,,,Hondo,TX,78861,Medina,830-426-7700,Critical Access,Nonprofit - Other,Yes,"3100 AVENUE E
HONDO, TX 78861
(29.33557236100046, -99.1334607499997)"
451331,Coon Memorial Hospital,1411 Denver Ave.,,,Dalhart,TX,79022,Dallam,806-244-4571,Critical Access,Government - Hospital District or Authority,Yes,"1411 DENVER AVENUE
DALHART, TX 79022
(36.05210894400045, -102.5218438069997)"
451337,W J Mangold Memorial Hospital,320 N. Main,,,Lockney,TX,79241,Floyd,806-652-3373,Critical Access,Government - Hospital District or Authority,Yes,"320 NORTH MAIN
LOCKNEY, TX 79241
(34.126857552000445, -101.44163500499968)"
451341,Haskell Memorial Hospital,1 N. Ave. North/P.O. Box 1117,,,Haskell,TX,79521,Haskell,940-864-2621,Critical Access,Government - Hospital District or Authority,Yes,"1 NORTH AVENUE N PO BOX 1117
HASKELL, TX 79521
(33.15685985800047, -99.74416060299967)"
451342,Mitchell County Hospital District,997 W. Interstate 20,,,Colorado City,TX,79512,Mitchell,325-728-3431,Critical Access,Government - Hospital District or Authority,Yes,"997 WEST I-20
COLORADO CITY, TX 79512
(32.392156688000455, -100.92845625999968)"
451343,Electra Memorial Hospital,1207 S. Bailey St.,,,Electra,TX,76360,Wichita,940-495-3981,Critical Access,Government - Hospital District or Authority,Yes,"1207 S BAILEY STREET
ELECTRA, TX 76360
(34.01910602500044, -98.92399275299965)"
451344,Hansford County Hospital,707 Roland St.,,,Spearman,TX,79081,Hansford,806-659-2535,Critical Access,Government - Hospital District or Authority,Yes,"707 ROLAND ST
SPEARMAN, TX 79081
(36.19071202900045, -101.2001025669997)"
451346,Yoakum Community Hospital,1200 Carl Ramert Drive,,,Yoakum,TX,77995,De Witt,361-293-2321,Critical Access,Government - Hospital District or Authority,Yes,"1200 CARL RAMERT DRIVE
YOAKUM, TX 77995
(29.30713157100047, -97.13082036699967)"
451347,Coleman County Medical Center Company,310 S. Pecos St.,,,Coleman,TX,76834,Coleman,325-625-2135,Critical Access,Government - Hospital District or Authority,Yes,"310 SOUTH PECOS STREET
COLEMAN, TX 76834
(31.828863727000453, -99.42525004399965)"
451349,Swisher Memorial Hospital,539 S.E. 2nd St.,,,Tulia,TX,79088,Swisher,806-995-3581,Critical Access,Government - Hospital District or Authority,Yes,"539 SOUTHEAST 2ND
TULIA, TX 79088
(34.535628218000454, -101.75584968399966)"
451350,Plains Memorial Hospital,310 W. Halsell St.,,,Dimmitt,TX,79027,Castro,806-647-2191,Critical Access,Government - Hospital District or Authority,Yes,"310 WEST HALSELL STREET
DIMMITT, TX 79027
(34.55559098000049, -102.31519259099969)"
451351,Lynn County Hospital District,2600 Lockwood St.,,,Tahoka,TX,79373,Lynn,806-998-4533,Critical Access,Government - Hospital District or Authority,Yes,"2600 LOCKWOOD STREET
TAHOKA, TX 79373
(33.16631367800045, -101.77503893199969)"
451354,Hamilton Hospital,901 W. Hamilton,,,Olney,TX,76374,Young,940-564-5521,Critical Access,Government - Hospital District or Authority,Yes,"901 WEST HAMILTON
OLNEY, TX 76374
(33.36961188500044, -98.76381281899967)"
451355,Collingsworth General Hospital,1013 15th St.,,,Wellington,TX,79095,Collingsworth,806-447-2521,Critical Access,Proprietary,Yes,"1013 15TH ST
WELLINGTON, TX 79095
(34.84917949600049, -100.21241949299969)"
451356,Memorial Medical Center,815 N. Virginia St.,,,Port Lavaca,TX,77979,Calhoun,361-552-6713,Critical Access,Government - Local,Yes,"815 N VIRGINIA STREET
PORT LAVACA, TX 77979
(28.620971134000456, -96.63158226199965)"
451357,Little River Healthcare,1700 Brazos,,,Rockdale,TX,76567,Milam,512-446-4500,Critical Access,Proprietary,Yes,"1700 BRAZOS
ROCKDALE, TX 76567
(30.650107321000462, -97.02206497199967)"
451361,Sabine County Hospital,2301 U.S. Highway 83 West/P.O. Box 750 ,,,Hemphill,TX,75948,Sabine,409-787-3300,Critical Access,Government - Hospital District or Authority,Yes,"PO BOX 750, 2301 HWY 83 W
HEMPHILL, TX 75948
(31.310200258000464, -93.77394901299965)"
451363,Jackson Healthcare Center,1013 S. Wells,,,Edna,TX,77957,Jackson,361-782-7800,Critical Access,Government - Hospital District or Authority,Yes,"1013 S WELLS
EDNA, TX 77957
(28.970852005000438, -96.6373718379997)"
451364,Otto Kaiser Memorial Hospital,3349 S. Highway 181,,,Kenedy,TX,78119,Karnes,830-583-3401,Critical Access,Government - Hospital District or Authority,Yes,"3349 S HIGHWAY 181
KENEDY, TX 78119
(28.848629634000474, -97.87837105599965)"
451365,Seton Highland Lakes,3201 S. Water St.,,,Burnet,TX,78611,Burnet,512-715-3000,Critical Access,Nonprofit - Church,Yes,"HIGHWAY 281 SOUTH
BURNET, TX 78611
(30.80165340500048, -98.3842388379997)"
451367,East Texas Medical Center Pittsburg,2701 U.S. Highway 271 North,,,Pittsburg,TX,75686,Camp,903-856-4520,Critical Access,Nonprofit - Church,Yes,"2701 US HWY 271 N
PITTSBURG, TX 75686
(33.03100783800045, -94.96206392999966)"
451369,Golden Plains Community Hospital,100 Medical Drive,,,Borger,TX,79007,Hutchinson,806-273-1100,Critical Access,Government - Federal,Yes,"100 MEDICAL DRIVE
BORGER, TX 79007
(35.65602056500046, -101.40796953899968)"
451370,Red River Regional Hospital,504 Lipscomb St.,,,Bonham,TX,75418,Fannin,903-640-7311,Critical Access,Proprietary,Yes,"504 LIPSCOMB STREET
BONHAM, TX 75418
(33.578319716000465, -96.16741807799968)"
451371,Seton Edgar B Davis Hospital,130 Hays St.,,,Luling,TX,78648,Caldwell,830-875-7000,Critical Access,Nonprofit - Church,Yes,"130 HAYS STREET
LULING, TX 78648
(29.672628517000476, -97.65348253999969)"
451376,Lavaca Medical Center,1400 N. Texana St.,,,Hallettsville,TX,77964,Lavaca,361-798-3671,Critical Access,Government - Hospital District or Authority,Yes,"1400 NORTH TEXANA STREET
HALLETTSVILLE, TX 77964
(29.457930596000438, -96.93980945299967)"
451377,Reeves County Hospital District,2323 Texas St.,,,Pecos,TX,79772,Reeves,432-447-3551,Critical Access,Government - Hospital District or Authority,Yes,"2323 TEXAS STREET
PECOS, TX 79772
(31.401773196000477, -103.51282219499967)"
451378,Big Bend Regional Medical Center,2600 Highway 118 North,,,Alpine,TX,79830,Brewster,432-837-3447,Critical Access,Proprietary,Yes,"2600 HIGHWAY 118 NORTH
ALPINE, TX 79830
(30.35429035800047, -103.6599662269997)"
451379,Coryell Memorial Healthcare System,1507 W. Main St.,,,Gatesville,TX,76528,Coryell,254-865-8251,Critical Access,Government - Hospital District or Authority,Yes,"1507 W MAIN STREET
GATESVILLE, TX 76528
(31.433610711000483, -97.7761219199997)"
451380,East Texas Medical Center Quitman,117 Winnsboro St.,,,Quitman,TX,75783,Wood,903-763-4500,Critical Access,Nonprofit - Church,Yes,"117 WINNSBORO STREET
QUITMAN, TX 75783
(32.796375054000464, -95.44505377599967)"
453300,Cook Childrens Medical Center,801 Seventh Ave.,,,Fort Worth,TX,76104,Tarrant,682-885-4000,Childrens,Nonprofit - Church,Yes,"801 SEVENTH AVENUE
FORT WORTH, TX 76104
(32.73648996200046, -97.34195795299968)"
453301,Driscoll Childrens Hospital,3533 S. Alameda/P.O. Box 6530,,,Corpus Christi,TX,78411,Nueces,512-850-5000,Childrens,Nonprofit - Other,Yes,"3533 S ALAMEDA BOX 6530
CORPUS CHRISTI, TX 78411
(27.74926046200045, -97.38499668099968)"
453310,Dell Children's Medical Center Of Central Texas,4900 Mueller Blvd.,,,Austin,TX,78723,Travis,512-324-0000,Childrens,Nonprofit - Church,Yes,"4900 MUELLER BLVD
AUSTIN, TX 78723
(30.302557926000475, -97.70494631999969)"
670002,South Hampton Community Hospital,2929  S. Hampton Road,,,Dallas,TX,75224,Dallas,214-623-4400,Acute Care,Proprietary,Yes,"2929 SOUTH HAMPTON ROAD
DALLAS, TX 75224
(32.71524077400045, -96.85716182699969)"
670004,St Marks Medical Center,1 St. Mark's Place,,,La Grange,TX,78945,Fayette,979-242-2200,Acute Care,Nonprofit - Church,Yes,"ONE ST MARK'S PLACE
LA GRANGE, TX 78945
(29.91365031400045, -96.87637852999967)"
670005,Memorial Hermann Surgical Hospital Kingwood,300 Kingwood Medical Drive,,,Kingwood,TX,77339,Harris,281-312-4000,Acute Care,Proprietary,No,"300 KINGWOOD MEDICAL DRIVE
KINGWOOD, TX 77339
(30.047258445000466, -95.25805092199965)"
670006,The Hospital At Westlake Medical Center,"5656 Bee Caves Road, Suite M-302",,,Austin,TX,78746,Travis,512-327-0000,Acute Care,Proprietary,Yes,"5656 BEE CAVES ROAD, SUITE M-302
AUSTIN, TX 78746
(30.294565531000444, -97.82458826699968)"
670008,Houston Physicians' Hospital,333 N. Texas Ave.,,,Webster,TX,77598,Harris,281-335-1700,Acute Care,Physician,Yes,"333 N TEXAS AVENUE
WEBSTER, TX 77598
(29.534700470000473, -95.12562208799966)"
670010,Mayhill Hospital,2809 S. Mayhill Road,,,Denton,TX,76208,Denton,940-239-3000,Acute Care,Proprietary,No,"2809 SOUTH MAYHILL ROAD
DENTON, TX 76208
(33.176011109000456, -97.08822676499966)"
670012,Houston Orthopedic And Spine Hospital,5410 West Loop South,,,Bellaire,TX,77401,Harris,713-622-2262,Acute Care,Proprietary,Yes,"5410 WEST LOOP SOUTH
BELLAIRE, TX 77401
(29.72394069200044, -95.46077209299966)"
670018,Doctors Diagnostic Hospital,1017 S. Travis,,,Cleveland,TX,77328,Liberty,281-622-2900,Acute Care,Physician,Yes,"1017 SOUTH TRAVIS
CLEVELAND, TX 77328
(30.36388412900044, -95.1861192509997)"
670019,University General Hospital,7501 Fannin,,,Houston,TX,77054,Harris,713-652-3800,Acute Care,Proprietary,Yes,"7501 FANNIN
HOUSTON, TX 77054
(29.693011021000473, -95.40077819599969)"
670023,Methodist Mansfield Medical Center,2700 E. Broad St.,,,Mansfield,TX,76063,Tarrant,682-622-2059,Acute Care,Nonprofit - Church,Yes,"2700 E BROAD STREET
MANSFIELD, TX 76063
(32.568492035000475, -97.09708970799966)"
670024,North Cypress Medical Center,21214 Northwest Freeway,,,Cypress,TX,77429,Harris,281-890-0203,Acute Care,Physician,Yes,"21214 NORTHWEST FREEWAY
CYPRESS, TX 77429
(29.924885250000443, -95.63252806199966)"
670025,The Heart Hospital Baylor Plano,1100 Allied Drive,,,Plano,TX,75093,Collin,469-814-3278,Acute Care,Proprietary,Yes,"1100 ALLIED DRIVE
PLANO, TX 75093
(33.014446835000456, -96.79073860899967)"
670029,First Surgical Hospital,4801 Bissonet Blvd.,,,Bellaire,TX,77401,Harris,713-713-7133,Acute Care,Proprietary,Yes,"4801 BISSONNET BLVD
BELLAIRE, TX 77401
(29.71037564900047, -95.46249777799966)"
670031,St Luke's Patients Medical Center,4600 E. Sam Houston Parkway South,,,Pasadena,TX,77505,Harris,281-487-0700,Acute Care,Physician,Yes,"4600 EAST SAM HOUSTON PARKWAY SOUTH
PASADENA, TX 77505
(29.641109010000434, -95.16000312999967)"
670034,Scott & White Hospital-Round Rock,300 University Blvd.,,,Round Rock,TX,78664,Williamson,512-509-0100,Acute Care,Nonprofit - Church,Yes,"300 UNIVERSITY BLVD
ROUND ROCK, TX 78664
(30.560317426000438, -97.6849191389997)"
670041,Seton Medical Center Williamson,201 Seton Parkway,,,Round Rock,TX,78664,Williamson,512-324-0000,Acute Care,Nonprofit - Church,Yes,"201 SETON PARKWAY
ROUND ROCK, TX 78664
(30.571051729000487, -97.65298034999967)"
670043,Cedar Park Regional Medical Center,1401 Medical Parkway,,,Cedar Park,TX,78613,Williamson,512-528-7000,Acute Care,Proprietary,Yes,"1401 MEDICAL PARKWAY
CEDAR PARK, TX 78613
(30.530595852000488, -97.81187836799967)"
670044,Texas Health Presbyterian Hospital Rockwall,3150 Horizon Road,,,Rockwall,TX,75032,Rockwall,469-698-1000,Acute Care,Physician,Yes,"3150 HORIZON ROAD
ROCKWALL, TX 75032
(32.886069045000454, -96.46477002099965)"
670045,"Cook Childrens Northeast Hospital, Llc",6316 Precinct Line Road,,,Hurst,TX,76054,Tarrant,817-605-2500,Acute Care,Nonprofit - Church,Yes,"6316 PRECINCT LINE RD
HURST, TX 76054
(32.86322060000049, -97.18608847099966)"
670046,Usmd Hospital  At Fort Worth Lp,5900 Dirks Road,,,Fort Worth,TX,76132,Tarrant,817-433-9100,Acute Care,Proprietary,Yes,"5900 DIRKS ROAD
FORT WORTH, TX 76132
(32.64560779900046, -97.41748793299968)"
670047,Sierra Providence East Medical Center,3280 Joe Battle Blvd.,,,El Paso,TX,79938,El Paso,915-856-7349,Acute Care,Proprietary,Yes,"3280 JOE BATTLE BLVD
EL PASO, TX 79938
(31.790220156000487, -106.26762812799967)"
670049,North Central Surgical Center Llp,"9301 N. Central Expressway, Suite 100",,,Dallas,TX,75231,Dallas,214-265-2810,Acute Care,Nonprofit - Other,Yes,"9301 NORTH CENTRAL EXPRESSWAY SUITE 100
DALLAS, TX 75231
(32.87500902800048, -96.77064378899968)"
670050,Trustpoint Hospital,4302 Princeton,,,Lubbock,TX,79415,Lubbock,806-749-2222,Acute Care,Physician,Yes,"4302 PRINCETON
LUBBOCK, TX 79415
(33.616860450000445, -101.86834885199966)"
670053,St Luke'S Sugar Land Hospital,1317 Lake Pointe Parkway,,,Sugar Land,TX,77478,Fort Bend,281-637-7000,Acute Care,Nonprofit - Other,Yes,"1317 LAKE POINTE PARKWAY
SUGAR LAND, TX 77478
(29.604892134000465, -95.62127853899966)"
670054,Foundation Surgical Hospital Of San Antonio,9522 Huebner Road,,,San Antonio,TX,78240,Bexar,210-478-5400,Acute Care,Proprietary,Yes,"9522 HUEBNER ROAD
SAN ANTONIO, TX 78240
(29.531390046000467, -98.59216975599969)"
670055,Methodist Stone Oak Hospital,1139 E. Sonterra Blvd.,,,San Antonio,TX,78258,Bexar,210-638-2100,Acute Care,Proprietary,Yes,"1139 E SONTERRA BLVD
SAN ANTONIO, TX 78258
(29.614517831000455, -98.47655835299969)"
670056,Seton Medical Center Hays,6001 Kyle Parkway,,,Kyle,TX,78640,Hays,512-324-5000,Acute Care,Nonprofit - Church,Yes,"6001 KYLE PKWY
KYLE, TX 78640
(30.007586133000473, -97.85517981299967)"
670058,Emerus Hospital,16000 Southwest Freeway,,,Sugar Land,TX,77479,Fort Bend,281-516-0911,Acute Care,Physician,Yes,"16000 SOUTHWEST FREEWAY
SUGAR LAND, TX 77479
(29.597971629000483, -95.62367104599969)"
